Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Razzmatazz Truffle Martini,https://www.thecocktailproject.com/drink-recipes/razzmatazz-truffle-martini,"Pinnacle Whipped Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Whipped Vodka, DeKuyper Razzmatazz Schnapps Liqueur, DeKuyper Creme De Cacao Dark Liqueur, Kamora Coffee Liqueur, Half and Half",Cordials,Sweet,3,35
Red Velvet Cake Martini,https://www.thecocktailproject.com/drink-recipes/red-velvet-cake-martini,"DeKuyper Hazelnut Schnapps Liqueur, DeKuyper Creme de Cocoa White Liqueur, DeKuyper Hazelnut Schnapps Liqueur, DeKuyper Creme de Cocoa White Liqueur, DeKuyper Michigan Cherry Schnapps Liqueur, Pinnacle Original Vodka, Grenadine, Sugar, Granulated, Cocoa Powder",Cordials,Sweet,3,33
Sour Apple Popsicle Martini,https://www.thecocktailproject.com/drink-recipes/sour-apple-popsicle-martini,"DeKuyper Pucker Sour Apple Schnapps, Cream, DeKuyper Pucker Sour Apple Schnapps, Cream, Ice, Crushed",Cordials,Sour,3,41
Toffee Drop Martini,https://www.thecocktailproject.com/drink-recipes/toffee-drop-martini,"Jim Beam Original, DeKuyper Buttershots Schnapps, Jim Beam Original, DeKuyper Buttershots Schnapps, DeKuyper Creme de Cocoa White Liqueur, Half and Half",Bourbon,Sweet,3,37
White Chocolate Raspberry Martini,https://www.thecocktailproject.com/drink-recipes/white-chocolate-raspberry-martini,"DeKuyper Creme de Cocoa White Liqueur, Pinnacle Raspberry Vodka, DeKuyper Creme de Cocoa White Liqueur, Pinnacle Raspberry Vodka, Chocolate Sauce, Raspberries",Cordials,Sweet,3,37
Razzmatazz Sangria,https://www.thecocktailproject.com/drink-recipes/razzmatazz-sangria,"DeKuyper Razzmatazz Schnapps Liqueur, Red Wine, DeKuyper Razzmatazz Schnapps Liqueur, Red Wine, Mixed Berries, Soda Water",Cordials,Fruity,3,49
Spring Sangria,https://www.thecocktailproject.com/drink-recipes/spring-sangria,"White Wine, Dry, DeKuyper Peachtree Schnapps Liqueur, White Wine, Dry, DeKuyper Peachtree Schnapps Liqueur, Sugar, Peaches and Grapes, Lemon Wheel",Cordials,Fruity,3,43
Nectarita,https://www.thecocktailproject.com/drink-recipes/nectarita,"DeKuyper Peachtree Schnapps Liqueur, DeKuyper Triple Sec Liqueur, DeKuyper Peachtree Schnapps Liqueur, DeKuyper Triple Sec Liqueur, Sauza Blue Silver 100% Agave Tequila, Sour Mix",Cordials,Sour,3,23
Blue Martini,https://www.thecocktailproject.com/drink-recipes/blue-martini,"Pinnacle Citrus Vodka, Pinnacle Citrus Vodka, Sour Mix",Cordials,Sour,3,36
Sauza Razzmatazz Margarita,https://www.thecocktailproject.com/drink-recipes/sauza-razzmatazz-margarita,"Sauza Silver Tequila, DeKuyper Razzmatazz Schnapps Liqueur, Sauza Silver Tequila, DeKuyper Razzmatazz Schnapps Liqueur, Lime Juice, Simple Syrup, Salt",Cordials,Sour,3,64
